"KHIPU_ID","CORD_ID","TWIST_ANGLE","THICKNESS","FIBER","TERMINATION","PENDANT_FROM","ATTACHED_TO","ATTACHMENT_TYPE","CLUSTER_ID","CLUSTER_ORDINAL","CORD_ORDINAL","ATTACH_POS","CORD_LENGTH","CREATED_BY","CREATED_ON","CHANGED_BY","CHANGED_ON","CORD_LEVEL","CORD_NOTES","TWIST","CORD_CLASSIFICATION","INVESTIGATOR_CORD_NUM","CANUTO_ORDINAL","CANUTO_ID"
1000000,3000001,0.0000,0.0000,"CN","B",1000000,0,"U",1000000,1,1,0.000,0.500,"cbrezine","2011-12-23 17:44:41","gurton","2007-12-12 20:44:38",1,"","S","",1,0,0
1000000,3000002,0.0000,0.0000,"CN","B",1000000,0,"V",1000000,2,2,0.000,16.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-28 22:14:22",1,"","S","",2,0,0
1000000,3000003,0.0000,0.0000,"CN","K",1000000,0,"V",1000000,3,3,0.000,32.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-28 22:14:40",1,"","S","",3,0,0
1000000,3000004,0.0000,0.0000,"CN","U",1000000,0,"V",1000001,1,4,0.000,39.500,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-28 22:16:33",1,"","S","",4,0,0
1000000,3000005,0.0000,0.0000,"CN","B",1000000,0,"R",1000001,2,5,0.000,21.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-28 22:26:28",1,"","S","",5,0,0
1000000,3000006,0.0000,0.0000,"CN","U",1000000,0,"U",1000001,3,6,0.000,31.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-28 22:27:19",1,"doblado en cordon principal","S","",6,0,0
1000000,3000007,0.0000,0.0000,"CN","U",1000000,0,"R",1000001,4,7,0.000,18.500,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-28 22:37:11",1,"","S","",7,0,0
1000000,3000008,0.0000,0.0000,"CN","K",1000000,0,"V",1000002,1,8,0.000,40.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-28 22:38:23",1,"","S","",8,0,0
1000000,3000009,0.0000,0.0000,"CN","U",1000000,0,"V",1000002,2,9,0.000,24.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-28 22:38:53",1,"","S","",9,0,0
1000000,3000010,0.0000,0.0000,"CN","K",1000000,0,"V",1000002,3,10,0.000,33.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-28 22:40:34",1,"","S","",10,0,0
1000000,3000011,0.0000,0.0000,"CN","K",1000000,0,"V",1000002,4,11,0.000,49.500,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-28 22:41:57",1,"","S","",11,0,0
1000000,3000012,0.0000,0.0000,"CN","K",1000000,0,"V",1000002,5,12,0.000,29.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-28 22:42:18",1,"","S","",12,0,0
1000000,3000013,0.0000,0.0000,"CN","U",1000000,0,"R",1000003,1,13,0.000,36.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-28 22:42:41",1,"","S","",13,0,0
1000000,3000014,0.0000,0.0000,"CN","U",3000003,0,"U",1000004,1,1,5.000,31.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 14:43:05",2,"","S","",1,0,0
1000000,3000015,0.0000,0.0000,"CN","U",3000006,0,"U",1000005,1,1,2.000,32.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 14:44:23",2,"nudo desanudado","S","",1,0,0
1000000,3000016,0.0000,0.0000,"CN","U",3000007,0,"R",1000006,1,1,4.000,13.000,"cbrezine","2011-12-23 17:44:41","gurton","2007-12-12 20:46:31",2,"","S","",1,0,0
1000000,3000017,0.0000,0.0000,"CN","K",3000009,0,"U",1000007,1,1,4.500,17.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 14:47:17",2,"","S","",1,0,0
1000000,3000018,0.0000,0.0000,"CN","U",3000010,0,"U",1000008,1,1,2.000,35.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 14:48:13",2,"","S","",1,0,0
1000001,3000019,0.0000,0.0000,"CN","K",1000001,0,"V",1000009,1,1,0.000,26.500,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 15:31:11",1,"","S","",1,0,0
1000001,3000020,0.0000,0.0000,"CN","U",1000001,0,"V",1000009,2,2,0.000,29.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 15:33:21",1,"","S","",2,0,0
1000001,3000021,0.0000,0.0000,"CN","K",1000001,0,"V",1000009,3,3,0.000,23.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 15:35:17",1,"","S","",3,0,0
1000001,3000022,0.0000,0.0000,"CN","K",1000001,0,"V",1000009,4,4,0.000,26.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 15:37:00",1,"","S","",4,0,0
1000001,3000023,0.0000,0.0000,"CN","K",1000001,0,"V",1000010,1,5,0.000,15.500,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 15:38:07",1,"","S","",5,0,0
1000001,3000024,0.0000,0.0000,"CN","K",1000001,0,"V",1000010,2,6,0.000,28.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 15:39:15",1,"","S","",6,0,0
1000002,3000025,0.0000,0.0000,"CN","U",1000002,0,"R",1000011,1,1,0.000,32.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 16:31:52",1,"","S","",1,0,0
1000002,3000026,0.0000,0.0000,"CN","K",1000002,0,"V",1000011,2,2,0.000,40.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 16:34:05",1,"","S","",2,0,0
1000002,3000027,0.0000,0.0000,"CN","K",1000002,0,"V",1000011,3,3,0.000,36.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 16:35:35",1,"","S","",3,0,0
1000002,3000028,0.0000,0.0000,"CN","K",1000002,0,"R",1000011,4,4,0.000,44.500,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 16:37:08",1,"","S","",4,0,0
1000002,3000029,0.0000,0.0000,"CN","U",1000002,0,"R",1000012,1,5,0.000,43.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2004-11-16 21:42:57",1,"value changed; was 54","S","",5,0,0
1000002,3000030,0.0000,0.0000,"CN","U",1000002,0,"R",1000012,2,6,0.000,47.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 16:42:06",1,"","S","",6,0,0
1000002,3000031,0.0000,0.0000,"CN","K",1000002,0,"V",1000013,1,7,0.000,49.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2004-10-26 20:41:41",1,"","S","",7,0,0
1000002,3000032,0.0000,0.0000,"CN","U",1000002,0,"R",1000014,1,8,0.000,37.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2004-11-16 21:43:13",1,"value changed; was 14","S","",8,0,0
1000002,3000033,0.0000,0.0000,"","U",1000002,0,"",1000015,1,9,0.000,0.000,"cbrezine","2011-11-24 03:42:40","","0000-00-00 00:00:00",1,"","","M",1,0,0
1000002,3000034,0.0000,0.0000,"CN","U",1000002,0,"R",1000016,1,10,0.000,35.500,"cbrezine","2011-12-23 17:44:41","cbrezine","2004-11-17 18:00:20",1,"value changed; was 84","S","",9,0,0
1000002,3000035,0.0000,0.0000,"CN","K",1000002,0,"R",1000016,2,11,0.000,40.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2004-11-17 18:00:47",1,"value changed, was 16","S","",10,0,0
1000002,3000036,0.0000,0.0000,"CN","K",1000002,0,"R",1000016,3,12,0.000,43.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2003-05-29 16:51:13",1,"","S","",11,0,0
1000002,3000037,0.0000,0.0000,"","U",1000002,0,"",1000017,1,13,0.000,0.000,"cbrezine","2011-11-24 03:42:40","","0000-00-00 00:00:00",1,"","","M",2,0,0
1000002,3000038,0.0000,0.0000,"CN","K",1000002,0,"V",1000018,1,14,0.000,40.500,"cbrezine","2011-12-23 17:44:41","cbrezine","2004-11-17 18:01:05",1,"value changed, was 16","S","",12,0,0
1000002,3000039,0.0000,0.0000,"CN","K",1000002,0,"R",1000018,2,15,0.000,46.500,"cbrezine","2011-12-23 17:44:41","cbrezine","2004-11-17 18:01:37",1,"value changed; was 17","S","",13,0,0
1000002,3000040,0.0000,0.0000,"CN","K",1000002,0,"R",1000018,3,16,0.000,44.000,"cbrezine","2011-12-23 17:44:41","cbrezine","2004-11-17 18:01:51",1,"value changed; was 10","S","",14,0,0
1000002,3000041,0.0000,0.0000,"CN","K",1000002,0,"R",1000018,4,17,0.000,34.500,"cbrezine","2011-12-23 17:44:41","cbrezine","2004-11-17 18:02:27",1,"value changed; was 34","S","",15,0,0
