"CORD_ID","DIRECTION","KNOT_VALUE_DECIMAL","CLUSTER_ID","KNOT_ID","KNOT_ORDINAL","CLUSTER_ORDINAL","NUM_TURNS"
3000003,"Z",10,1000000,1000000,1,1,0
3000003,"Z",8,1000001,1000001,2,1,8
3000004,"S",1,1000002,1000002,1,1,0
3000006,"Z",10,1000003,1000003,1,1,0
3000007,"Z",1,1000004,1000004,1,1,0
3000009,"Z",10,1000005,1000005,1,1,0
3000009,"Z",10,1000005,1000006,2,2,0
3000009,"Z",8,1000006,1000007,3,1,8
3000010,"Z",10,1000007,1000008,1,1,0
3000014,"Z",9,1000008,1000009,1,1,9
3000016,"Z",2,1000009,1000010,1,1,2
3000017,"Z",3,1000010,1000011,1,1,3
3000018,"Z",8,1000011,1000012,1,1,8
3000019,"Z",100,1000012,1000013,1,1,0
3000019,"Z",100,1000012,1000014,2,2,0
3000020,"Z",10,1000013,1000015,1,1,0
3000020,"Z",10,1000013,1000016,2,2,0
3000020,"Z",10,1000013,1000017,3,3,0
3000020,"Z",10,1000013,1000018,4,4,0
3000020,"Z",10,1000013,1000019,5,5,0
3000020,"Z",10,1000013,1000020,6,6,0
3000020,"Z",10,1000013,1000021,7,7,0
3000020,"Z",10,1000013,1000022,8,8,0
3000020,"Z",10,1000013,1000023,9,9,0
3000020,"Z",9,1000014,1000024,10,1,9
3000021,"Z",100,1000015,1000025,1,1,0
3000021,"Z",10,1000016,1000026,2,1,0
3000021,"Z",10,1000016,1000027,3,2,0
3000022,"Z",10,1000017,1000028,1,1,0
3000023,"Z",10,1000018,1000029,1,1,0
3000023,"Z",10,1000018,1000030,2,2,0
3000023,"Z",10,1000018,1000031,3,3,0
3000023,"Z",10,1000018,1000032,4,4,0
3000023,"Z",10,1000018,1000033,5,5,0
3000023,"Z",10,1000018,1000034,6,6,0
3000023,"Z",8,1000019,1000035,7,1,8
3000024,"Z",5,1000020,1000036,1,1,5
3000025,"Z",100,1000021,1000037,1,1,0
3000025,"Z",100,1000021,1000038,2,2,0
3000025,"Z",10,1000022,1000039,3,1,0
3000025,"Z",10,1000022,1000040,4,2,0
3000025,"Z",2,1000023,1000041,5,1,2
3000026,"Z",10,1000024,1000042,1,1,0
3000026,"Z",10,1000024,1000043,2,2,0
3000026,"Z",10,1000024,1000044,3,3,0
3000026,"Z",10,1000024,1000045,4,4,0
3000027,"Z",100,1000026,1000046,1,1,0
3000027,"Z",100,1000026,1000047,2,2,0
3000027,"Z",100,1000026,1000048,3,3,0
3000027,"Z",100,1000026,1000049,4,4,0
3000027,"Z",5,1000027,1000050,5,1,5
3000028,"Z",1000,1000028,1000051,1,1,0
3000028,"Z",100,1000029,1000052,2,1,0
3000028,"Z",100,1000029,1000053,3,2,0
3000028,"Z",100,1000029,1000054,4,3,0
3000028,"Z",100,1000029,1000055,5,4,0
3000028,"Z",100,1000029,1000056,6,5,0
3000028,"Z",10,1000030,1000057,7,1,0
3000028,"Z",10,1000030,1000058,8,2,0
3000028,"Z",10,1000030,1000059,9,3,0
3000028,"Z",10,1000030,1000060,10,4,0
3000028,"Z",3,1000031,1000061,11,1,3
3000029,"Z",1000,1000032,1000062,1,1,0
3000029,"Z",1000,1000032,1000063,2,2,0
3000029,"Z",1000,1000032,1000064,3,3,0
3000029,"Z",1000,1000032,1000065,4,4,0
3000029,"Z",1000,1000032,1000066,5,5,0
3000029,"Z",4,1000033,1000067,6,1,4
3000030,"Z",1000,1000034,1000068,1,1,0
3000030,"Z",1000,1000034,1000069,2,2,0
3000030,"Z",100,1000035,1000070,3,1,0
3000030,"Z",100,1000035,1000071,4,2,0
3000030,"Z",100,1000035,1000072,5,3,0
3000030,"Z",100,1000035,1000073,6,4,0
3000030,"Z",100,1000035,1000074,7,5,0
3000030,"Z",100,1000035,1000075,8,6,0
3000030,"Z",100,1000035,1000076,9,7,0
3000030,"Z",8,1000036,1000077,10,1,8
3000031,"Z",100,1000037,1000078,1,1,0
3000031,"Z",100,1000037,1000079,2,2,0
3000031,"Z",100,1000037,1000080,3,3,0
3000031,"Z",100,1000037,1000081,4,4,0
3000031,"Z",4,1000038,1000082,5,1,4
3000032,"Z",1000,1000039,1000083,1,1,0
3000032,"Z",4,1000040,1000084,2,1,4
3000034,"Z",100,1000041,1000085,1,1,0
3000034,"Z",100,1000041,1000086,2,2,0
3000034,"Z",100,1000041,1000087,3,3,0
3000034,"Z",100,1000041,1000088,4,4,0
3000034,"Z",100,1000041,1000089,5,5,0
3000034,"Z",100,1000041,1000090,6,6,0
3000034,"Z",100,1000041,1000091,7,7,0
3000034,"Z",100,1000041,1000092,8,8,0
3000034,"Z",4,1000042,1000093,9,1,4
3000035,"Z",1000,1000043,1000094,1,1,0
3000035,"Z",6,1000044,1000095,2,1,6
3000036,"Z",100,1000045,1000096,1,1,0
3000036,"Z",100,1000045,1000097,2,2,0
3000036,"Z",100,1000045,1000098,3,3,0
3000036,"Z",100,1000045,1000099,4,4,0
3000036,"Z",100,1000045,1000100,5,5,0
3000036,"Z",100,1000045,1000101,6,6,0
3000036,"Z",100,1000045,1000102,7,7,0
3000036,"Z",100,1000045,1000103,8,8,0
3000036,"Z",6,1000046,1000104,9,1,6
