"CORD_ID","TYPE_CODE","DIRECTION","KNOT_VALUE_TYPE","KNOT_VALUE_DECIMAL","CLUSTER_ID","KNOT_ID","KNOT_ORDINAL","CLUSTER_ORDINAL","CREATED_BY","CREATED_ON","CHANGED_BY","CHANGED_ON","NUM_TURNS","AXIS_ORIENTATION"
3000003,"S","Z",10,10,1000000,1000000,1,1,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-28 22:15:26",0,""
3000003,"L","Z",8,8,1000001,1000001,2,1,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-28 22:15:38",8,"AXD"
3000004,"E","S",1,1,1000002,1000002,1,1,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-28 22:17:02",0,""
3000006,"S","Z",10,10,1000003,1000003,1,1,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-28 22:28:04",0,""
3000007,"E","Z",1,1,1000004,1000004,1,1,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-28 22:37:40",0,""
3000009,"S","Z",10,10,1000005,1000005,1,1,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-28 22:39:32",0,""
3000009,"S","Z",10,10,1000005,1000006,2,2,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-28 22:39:32",0,""
3000009,"L","Z",8,8,1000006,1000007,3,1,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-28 22:39:39",8,"AXD"
3000010,"S","Z",10,10,1000007,1000008,1,1,"cbrezine","2011-10-09 15:46:14","cbrezine","2004-12-16 16:48:49",0,""
3000014,"L","Z",9,9,1000008,1000009,1,1,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-29 14:43:32",9,"AXD"
3000016,"L","Z",2,2,1000009,1000010,1,1,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-29 14:46:16",2,"AXD"
3000017,"L","Z",3,3,1000010,1000011,1,1,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-29 14:47:53",3,"AXD"
3000018,"L","Z",8,8,1000011,1000012,1,1,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-29 14:48:38",8,"AXD"
3000019,"S","Z",100,100,1000012,1000013,1,1,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-29 15:32:58",0,""
3000019,"S","Z",100,100,1000012,1000014,2,2,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-29 15:32:58",0,""
3000020,"S","Z",10,10,1000013,1000015,1,1,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-29 15:33:53",0,""
3000020,"S","Z",10,10,1000013,1000016,2,2,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-29 15:33:53",0,""
3000020,"S","Z",10,10,1000013,1000017,3,3,"cbrezine","2011-10-09 15:46:14","cbrezine","2003-05-29 15:33:53",0,""
